,SrcWell,Destination Well,Volume
1,A1,A1,1000.0
3,A1,A2,1000.0
4,B1,B1,2.5
5,A1,B1,997.5
6,B1,B2,2.5
7,A1,B2,997.5
8,B1,C1,22.5
9,A1,C1,977.5
10,B1,C2,22.5
11,A1,C2,977.5
12,B1,D1,77.5
13,A1,D1,922.5
14,B1,D2,77.5
15,A1,D2,922.5
16,B1,E1,187.5
17,A1,E1,812.5
18,B1,E2,187.5
19,A1,E2,812.5
20,B1,F1,365.0
21,A1,F1,635.0
22,B1,F2,365.0
23,A1,F2,635.0
24,B1,G1,630.0
25,A1,G1,370.0
26,B1,G2,630.0
27,A1,G2,370.0
28,B1,H1,1000.0
30,B1,H2,1000.0
33,A1,I1,1000.0
35,A1,I2,1000.0
36,B1,J1,2.5
37,A1,J1,997.5
38,B1,J2,2.5
39,A1,J2,997.5
40,B1,K1,22.5
41,A1,K1,977.5
42,B1,K2,22.5
43,A1,K2,977.5
44,B1,L1,77.5
45,A1,L1,922.5
46,B1,L2,77.5
47,A1,L2,922.5
48,B1,M1,187.5
49,A1,M1,812.5
50,B1,M2,187.5
51,A1,M2,812.5
52,B1,N1,365.0
53,A1,N1,635.0
54,B1,N2,365.0
55,A1,N2,635.0
56,B1,O1,630.0
57,A1,O1,370.0
58,B1,O2,630.0
59,A1,O2,370.0
60,B1,P1,1000.0
62,B1,P2,1000.0
65,A2,A3,1000.0
67,A2,A4,1000.0
68,B1,B3,2.5
69,A2,B3,997.5
70,B1,B4,2.5
71,A2,B4,997.5
72,B1,C3,22.5
73,A2,C3,977.5
74,B1,C4,22.5
75,A2,C4,977.5
76,B1,D3,77.5
77,A2,D3,922.5
78,B1,D4,77.5
79,A2,D4,922.5
80,B1,E3,187.5
81,A2,E3,812.5
82,B1,E4,187.5
83,A2,E4,812.5
84,B1,F3,365.0
85,A2,F3,635.0
86,B1,F4,365.0
87,A2,F4,635.0
88,B1,G3,630.0
89,A2,G3,370.0
90,B1,G4,630.0
91,A2,G4,370.0
92,B1,H3,1000.0
94,B1,H4,1000.0
97,A2,I3,1000.0
99,A2,I4,1000.0
